,sent_id,sentence,col_sent_weights,topic_id,topic,topic_score,len_sent,len_topic
0,0,"('redenen', 'anderhalve', 'meter-maatregel', 'lockdown', 'direct', 'staken', 'https://t.co/kkwxkyycai', 'via', '@ella_ster')","(0.033914, 0.028602174, 0.028153636, 0.027445884, 0.026339673, 0.02414921, 0.024016483, 0.023493648, 0.023287874, 0.023210961)",0,"('anderhalve', 'jaar', 'jij', 'meter', 'alleen', 'via', 'virus', '‘', 'ruimte', 'iedereen')",0.6850656867027283,9,10
1,0,"('redenen', 'anderhalve', 'meter-maatregel', 'lockdown', 'direct', 'staken', 'https://t.co/kkwxkyycai', 'via', '@ella_ster')","(0.039785545, 0.032295972, 0.03028803, 0.029464245, 0.028402364, 0.027757443, 0.027339462, 0.026661025, 0.025773868, 0.02369693)",1,"('m', 'normaal', 'we', 'lockdown', 'houden', 'nieuwe', 'gaat', 'nodig', 'wij', 'hele')",0.06345725804567337,9,10
2,0,"('redenen', 'anderhalve', 'meter-maatregel', 'lockdown', 'direct', 'staken', 'https://t.co/kkwxkyycai', 'via', '@ella_ster')","(0.034454267, 0.031294756, 0.030406108, 0.029176615, 0.028957149, 0.028421544, 0.028201448, 0.028139979, 0.025790941, 0.0253837)",2,"('houden', 'afstand', 'gewoon', 'wel', 'mensen', 'even', 'nederland', 'weer', '️', 'meter')",0.06282097101211548,9,10
3,0,"('redenen', 'anderhalve', 'meter-maatregel', 'lockdown', 'direct', 'staken', 'https://t.co/kkwxkyycai', 'via', '@ella_ster')","(0.06256152, 0.045397848, 0.0436387, 0.036652975, 0.034272023, 0.03404927, 0.028586496, 0.028347915, 0.02738692, 0.027183188)",3,"('rt', 'beter', 'corona', 'minder', 'meter', 'nee', 'lockdown', '#anderhalvemeter', 'af', 'zie')",0.06352373957633972,9,10
4,0,"('redenen', 'anderhalve', 'meter-maatregel', 'lockdown', 'direct', 'staken', 'https://t.co/kkwxkyycai', 'via', '@ella_ster')","(0.052543167, 0.052527025, 0.042577792, 0.03937991, 0.034003116, 0.033342715, 0.03216423, 0.031992685, 0.026801948, 0.026189158)",4,"('kans', 'meter', '#anderhalvemetersamenleving', '#stopdelockdown', '#corona', '#blijfthuis', 'houd', '#lockdown', 'afstand', '#houdafstand')",0.06239195913076401,9,10
5,0,"('redenen', 'anderhalve', 'meter-maatregel', 'lockdown', 'direct', 'staken', 'https://t.co/kkwxkyycai', 'via', '@ella_ster')","(0.040056493, 0.03837436, 0.035500564, 0.029390577, 0.028579896, 0.02412208, 0.02347182, 0.023355428, 0.020999838, 0.020401355)",5,"('we', 'moeten', 'waar', 'elkaar', 'regel', 'blijven', 'houden', 'gaan', 'meter', 'onze')",0.06274043023586273,9,10
6,1,"('meter', ""zo'n"", 'klantcontacten', 'week', 'lang', 'allemaal', 'meter', 'soms', 'gewoon', 'angst', 'corona', 'vertrouw', 'eigen', 'intuïtie', 'vooral', 'god', 'lach', 'gerust', 'laatste', 'zie', 'eenmaal')","(0.033914, 0.028602174, 0.028153636, 0.027445884, 0.026339673, 0.02414921, 0.024016483, 0.023493648, 0.023287874, 0.023210961)",0,"('anderhalve', 'jaar', 'jij', 'meter', 'alleen', 'via', 'virus', '‘', 'ruimte', 'iedereen')",0.04710077494382858,21,10
7,1,"('meter', ""zo'n"", 'klantcontacten', 'week', 'lang', 'allemaal', 'meter', 'soms', 'gewoon', 'angst', 'corona', 'vertrouw', 'eigen', 'intuïtie', 'vooral', 'god', 'lach', 'gerust', 'laatste', 'zie', 'eenmaal')","(0.039785545, 0.032295972, 0.03028803, 0.029464245, 0.028402364, 0.027757443, 0.027339462, 0.026661025, 0.025773868, 0.02369693)",1,"('m', 'normaal', 'we', 'lockdown', 'houden', 'nieuwe', 'gaat', 'nodig', 'wij', 'hele')",0.4398559033870697,21,10
8,1,"('meter', ""zo'n"", 'klantcontacten', 'week', 'lang', 'allemaal', 'meter', 'soms', 'gewoon', 'angst', 'corona', 'vertrouw', 'eigen', 'intuïtie', 'vooral', 'god', 'lach', 'gerust', 'laatste', 'zie', 'eenmaal')","(0.034454267, 0.031294756, 0.030406108, 0.029176615, 0.028957149, 0.028421544, 0.028201448, 0.028139979, 0.025790941, 0.0253837)",2,"('houden', 'afstand', 'gewoon', 'wel', 'mensen', 'even', 'nederland', 'weer', '️', 'meter')",0.048897635191679,21,10
9,1,"('meter', ""zo'n"", 'klantcontacten', 'week', 'lang', 'allemaal', 'meter', 'soms', 'gewoon', 'angst', 'corona', 'vertrouw', 'eigen', 'intuïtie', 'vooral', 'god', 'lach', 'gerust', 'laatste', 'zie', 'eenmaal')","(0.06256152, 0.045397848, 0.0436387, 0.036652975, 0.034272023, 0.03404927, 0.028586496, 0.028347915, 0.02738692, 0.027183188)",3,"('rt', 'beter', 'corona', 'minder', 'meter', 'nee', 'lockdown', '#anderhalvemeter', 'af', 'zie')",0.3705046772956848,21,10
